iter	Passed	Remaining
0	57	57163
1	57	28709
2	57	19222
3	58	14487
4	58	11640
5	58	9737
6	59	8378
7	59	7364
8	59	6573
9	60	5943
10	60	5426
11	60	4999
12	61	4643
13	61	4333
14	61	4063
15	62	3824
16	62	3613
17	62	3429
18	63	3261
19	63	3109
20	63	2973
21	64	2848
22	64	2738
23	64	2637
24	65	2542
25	65	2453
26	65	2371
27	66	2296
28	66	2224
29	66	2157
30	66	2094
31	67	2034
32	67	1979
33	67	1927
34	68	1877
35	68	1832
36	68	1795
37	69	1757
38	69	1718
39	70	1681
40	70	1644
41	70	1610
42	70	1577
43	71	1546
44	71	1516
45	71	1487
46	72	1460
47	72	1433
48	72	1408
49	72	1384
50	73	1360
51	73	1337
52	73	1315
53	73	1293
54	74	1275
55	74	1257
56	74	1238
57	75	1220
58	75	1201
59	75	1184
60	75	1168
61	76	1152
62	76	1136
63	76	1123
64	77	1111
65	77	1096
66	77	1083
67	78	1070
68	78	1057
69	78	1045
70	78	1033
71	79	1021
72	79	1013
73	80	1004
74	80	994
75	81	984
76	81	975
77	81	965
78	82	956
79	82	947
80	82	939
81	83	930
82	83	919
83	83	911
84	83	902
85	84	894
86	84	886
87	84	878
88	85	870
89	85	862
90	85	854
91	85	847
92	86	839
93	86	832
94	86	824
95	86	818
96	87	810
97	87	804
98	87	797
99	87	791
100	88	785
101	88	779
102	88	773
103	89	767
104	89	761
105	89	755
106	89	749
107	90	743
108	90	737
109	90	732
110	90	727
111	91	722
112	91	716
113	91	711
114	91	706
115	92	701
116	92	696
117	92	691
118	92	687
119	93	682
120	93	677
121	93	673
122	93	669
123	94	665
124	94	661
125	94	658
126	95	654
127	95	651
128	95	647
129	96	644
130	96	640
131	96	636
132	97	632
133	97	628
134	97	625
135	97	621
136	98	618
137	98	614
138	98	611
139	98	607
140	99	604
141	99	600
142	99	596
143	99	593
144	100	590
145	100	587
146	100	584
147	100	581
148	101	578
149	101	574
150	101	572
151	102	569
152	102	566
153	102	562
154	102	560
155	103	557
156	103	554
157	103	551
158	103	549
159	104	546
160	104	542
161	104	540
162	104	537
163	104	534
164	105	531
165	105	529
166	105	526
167	105	524
168	106	521
169	106	519
170	106	516
171	106	514
172	107	511
173	107	509
174	107	507
175	107	504
176	108	502
177	108	500
178	108	497
179	108	496
180	109	494
181	109	492
182	109	490
183	110	488
184	110	486
185	110	484
186	110	482
187	111	480
188	111	478
189	111	477
190	112	474
191	112	473
192	112	471
193	113	469
194	113	467
195	113	465
196	113	463
197	114	462
198	114	460
199	114	458
200	114	456
201	115	454
202	115	453
203	115	451
204	115	449
205	116	447
206	116	446
207	116	444
208	116	442
209	117	441
210	117	439
211	117	437
212	118	436
213	118	434
214	118	432
215	118	431
216	119	429
217	119	428
218	119	427
219	120	425
220	120	424
221	120	423
222	121	422
223	121	420
224	121	419
225	121	417
226	122	416
227	122	414
228	122	413
229	122	411
230	123	410
231	123	408
232	123	407
233	124	406
234	124	404
235	124	403
236	124	402
237	125	401
238	125	399
239	125	398
240	126	397
241	126	396
242	126	394
243	127	393
244	127	392
245	127	391
246	127	390
247	128	388
248	128	387
249	128	386
250	129	385
251	129	383
252	129	382
253	129	381
254	130	379
255	130	378
256	130	377
257	130	376
258	131	375
259	131	374
260	131	372
261	131	371
262	132	370
263	132	369
264	132	367
265	132	366
266	133	365
267	133	364
268	133	363
269	134	362
270	134	361
271	134	360
272	134	359
273	135	358
274	135	357
275	135	356
276	136	355
277	136	353
278	136	352
279	136	351
280	137	350
281	137	350
282	137	349
283	138	348
284	138	347
285	138	346
286	139	345
287	139	344
288	139	343
289	139	342
290	140	341
291	140	340
292	140	339
293	141	338
294	141	337
295	141	337
296	142	336
297	142	335
298	142	334
299	142	333
300	143	333
301	143	332
302	143	331
303	144	330
304	144	329
305	145	328
306	145	327
307	145	326
308	145	326
309	146	325
310	146	324
311	146	323
312	146	322
313	147	321
314	147	320
315	147	319
316	147	318
317	148	317
318	148	316
319	148	315
320	148	315
321	149	314
322	149	313
323	149	312
324	149	311
325	150	310
326	150	309
327	150	308
328	151	307
329	151	307
330	151	306
331	151	305
332	152	304
333	152	303
334	152	302
335	152	301
336	153	301
337	153	300
338	153	299
339	153	298
340	154	297
341	154	296
342	154	296
343	154	295
344	155	294
345	155	293
346	155	292
347	155	292
348	156	291
349	156	290
350	156	289
351	157	289
352	157	288
353	157	287
354	157	286
355	158	286
356	158	285
357	158	284
358	159	283
359	159	283
360	159	282
361	159	281
362	159	280
363	160	279
364	160	279
365	160	278
366	161	277
367	161	277
368	161	276
369	161	275
370	162	274
371	162	274
372	162	273
373	163	272
374	163	272
375	163	271
376	163	270
377	164	269
378	164	269
379	164	268
380	164	267
381	165	267
382	165	266
383	165	265
384	165	265
385	166	264
386	166	263
387	166	263
388	167	262
